feature_financial_1,feature_financial_2,feature_financial_3,feature_financial_4,feature_financial_5,target_12m,feature_financial_7,feature_financial_8,feature_management_1,feature_management_2,feature_management_3,sp500_12m,report_date,start_date,end_date,symbol,era,target_max_normalised,target_min_normalised,target_3m_normalised,target_6m_normalised,target_9m_normalised,target_12m_normalised,target_ml
24.8111034866788,-2.7325146969260388,4.06955925044428,3.3847482854742905,9.046728979745474,26.335992076512287,10.497584561944365,-2.035153332408991,0.1725114980880761,7.836455331491956,7.841908312992715,10.969769535056852,2004-07-14,2004-07-16,2005-07-12,CASY,2004,0.1114111450879596,0.7130635205548607,0.3399808255752852,-0.0505583912659948,-0.1521961149820759,0.5407068193422808,0.75
37.9022046876239,-10.584719682558964,-3.925111095405845,10.519091687014388,29.27702796189991,-0.2391209784425308,14.01203206666388,-10.184125424494413,-4.393434088489174,-3.836749968247666,6.401448555616948,11.19889379370396,2010-03-16,2010-03-18,2011-03-14,GTY,2010,0.3768383939446659,-0.2660381989793072,-0.4339349704164829,0.4339349704164829,0.7248705188777068,-0.9767936332674824,0.0
15.625932175253093,-15.70702377029617,12.463565074445665,-4.801985287932179,5.278909100052567,-14.041366352658088,1.365148225122233,-11.103384120063025,1.3540321411963816,-0.0252701761288208,-2.1101819254803345,-11.09299040699417,2015-02-17,2015-02-19,2016-02-14,LYB,2015,0.1027912436949057,-0.043990118295311,0.967421566101701,-0.2066831598309587,0.0880655697240945,-0.4549811403064283,0.25
35.050093202938484,-75.57204682098536,-6.926406185990436,-26.65430055214027,-71.2430422175163,-63.512677380768,19.105920358471,1.909901348935365,6.328505032684795,6.948240878011471,13.568765627533775,19.25190677923205,2016-03-08,2016-03-10,2017-03-11,DVAX,2016,0.3111562795826231,-2.765599997479443,-1.192782551149961,-1.7211298005156337,-2.765599997479443,-2.765599997479443,0.0
17.68797551120514,-18.150888514016,10.884524264661176,-5.302049766952493,-4.460844274663893,2.8925010193359526,8.411509260628353,-3.1561745782435704,1.7912777780115012,3.15302895774745,6.538059740315975,7.941829826404969,2005-03-16,2005-03-18,2006-03-13,CHDN,2005,-0.3691713625030897,-0.7192287304399239,0.6188730405486286,-0.8852904488296415,-0.9462913579615764,-0.7454495481807891,0.25
48.547470732454535,-2.2851496229967045,11.384252922196394,17.10732684833335,42.43069387175418,48.506105087195486,6.944555690849887,-4.662591001268379,0.3889936961329526,-3.031485232862559,-2.0271811031405806,5.001188726747928,2004-01-28,2004-01-30,2005-01-12,COO,2004,1.039898419655851,0.7936154164253918,0.94086471158563,1.039898419655851,1.2325547300975428,1.19044644429964,1.0
3.935998228459882,-35.43175937502735,-3.075048862878439,-13.407143434300671,-35.424380942999115,-20.29519630532933,3.345078447184428,-41.55223479755284,1.6933720753282189,-7.031618519577991,-37.71862101466124,-43.69662804516409,2008-02-26,2008-02-28,2009-02-22,RGR,2008,-0.9867993627699236,-0.036074416674231,-0.5285432999891629,-0.8237670336946826,-0.3496269202991955,0.2366225297410265,0.5
17.506426538539728,-6.812874568717868,0.5448413357427584,4.441793951062426,9.68030320556825,17.04334399667966,0.5793353045278379,-11.803812518544191,0.5771408963649167,-6.763460470797567,-1.54315401823276,-8.848275270255803,2015-02-23,2015-02-25,2016-02-17,PPL,2015,0.236730983028004,0.606986834803486,-0.1917306241735601,0.4226993637263154,0.4067242518713638,0.754927644483353,0.75
74.60177465081388,-26.33925796502256,-7.95583076031104,-3.110822482694953,76.34237253519026,68.77792538137408,10.816638233161491,-1.2064078871977353,5.98675479593563,1.042228940959874,8.239619542645418,11.218273901084592,2012-01-30,2012-02-01,2013-01-16,KBH,2012,1.7937838095341891,-1.230411507319429,-0.5982563844348799,-0.7007745731094327,2.1307155554683628,1.8837215565509235,1.0
26.462162142835314,-3.0756634927362803,12.81526346959326,2.3858239921573774,22.9038895219992,1.0224922818689417,1.3129772875102423,-11.149137713701432,0.5275153657479037,-6.020880036120895,-0.4012295157778202,-7.170732768554626,2015-03-02,2015-03-04,2016-02-27,FOXF,2015,0.6247064444917323,0.8776808142701863,0.9910986197739944,0.2822161470625082,0.9910986197739944,0.236730983028004,0.5
13.327544385555312,-9.945202612259026,-4.109667100801222,-2.026439600648392,4.210468557702416,13.84209551184605,21.5896556246758,-4.588375375869188,5.851965401971193,14.969375406304378,17.051865294265635,18.03840352295044,2010-07-22,2010-07-24,2011-07-17,CAG,2010,-1.0054394025550546,-0.140693743225248,-0.4727891209922674,-0.3768383939446659,-0.4924834449303661,-0.229884117579232,0.5
3.748807320381677,-12.633191027634064,0.7694379334161547,-4.5511125523644695,-3.397683416520721,-10.044317998675876,0.4094742326869353,-11.930247904115255,-0.4722795756724824,-6.069732263832251,-1.2883685358030237,-7.997574955069448,2015-02-27,2015-03-01,2016-02-27,PFE,2015,-0.8147687735180568,0.1619502526320868,-0.1175392424904342,-0.1917306241735601,-0.3908522745382257,-0.2066831598309587,0.5
4.4117275659805175,-27.17846665132953,-13.52102750137934,-29.31542492033632,-20.07677550145885,2.02878932379452,18.70259509741707,-6.40778568504444,-4.297506810597735,-6.245139184089955,6.311281195418111,17.97387881544044,2010-03-01,2010-03-03,2011-02-27,PB,2010,-1.8596358549698369,-1.3141040577674774,-1.3141040577674774,-2.3083618146666427,-1.8596358549698369,-0.819348843909036,0.25
